"Name" "Start" "Z" "p"
"1" "5-HT1A.53C03" "3181" 1.27715172547618 0.100774343160473
"2" "5-HT1A.53C10" "434" 0.728554740846852 0.233137036051876
"3" "5-HT1A.53F11" "1236" -0.960119753485362 0.831502526087848
"4" "5-HT1A.53F11" "2789" 0.801509849293592 0.211418272214355
"5" "5-HT1A.54A11" "2223" 0.490591446407433 0.311857718694064
"6" "5-HT1A.54A11" "3185" -0.35406586434791 0.638355238280948
"7" "5-HT1A.54A11" "3936" 0.984090870345275 0.162535417709039
"8" "5-HT1A.54A11" "4173" -0.810256188480541 0.791103525090593
"9" "5-HT1A.54A11" "992" 1.7742218112539 0.038013233888696
"10" "5-HT1A.54B05" "4521" 0.8054306252754 0.210285612476365
"11" "5-HT1A.54B05" "660" 0.984090870345275 0.162535417709039
"12" "5-HT7.70A01" "2213" -0.168198028712345 0.566786254143543
"13" "5-HT7.70A01" "2928" -0.344431761628057 0.63473919694136
"14" "5-HT7.70A01" "3250" 0.490591446407433 0.311857718694064
"15" "5-HT7.70A01" "3360" 0.167954490735573 0.433309540765525
"16" "5-HT7.70A07" "700" 0.467713543649564 0.319994727210999
"17" "5-HT7.70B07" "1537" 0.199701563512181 0.420856995450207
"18" "5-HT7.70B07" "218" -0.0300423395178416 0.511983356827933
"19" "5-HT7.70B07" "308" 1.16041493805504 0.122939953863363
"20" "5-HT7.70B07" "655" 0.128424784842964 0.448906409044733
"21" "5-HT7.70B09" "2304" 1.32347173795043 0.092839274441224
"22" "5-HT7.70B09" "5571" 0.343154675253037 0.36574105027774
"23" "ab.75F02" "1684" -1.78633443908664 0.962977438048076
"24" "ab.75F02" "2428" 1.23655119900956 0.10812687343556
"25" "ab.75F02" "4692" -0.225218899735544 0.589095506373906
"26" "ab.75F07" "1497" 1.98036069765847 0.0238315064489833
"27" "ab.75F07" "195" -0.761898542368898 0.776939719979638
"28" "ab.75F07" "2463" 0.0649190084008387 0.474119243001339
"29" "ab.75F07" "3922" 0.984090870345275 0.162535417709039
"30" "ab.75F07" "5298" -0.290526830196688 0.614293386022632
"31" "abba.25F06" "1019" 0.490591446407433 0.311857718694064
"32" "abba.25F06" "1170" 0.0584599530672924 0.476691130367221
"33" "abba.25F06" "246" -0.318150116278265 0.624814465151049
"34" "abba.25F06" "309" -0.800847696086667 0.788390088534018
"35" "abba.26B04" "2012" 0.490591446407433 0.311857718694064
"36" "abba.26B04" "845" -0.274446003664699 0.60812905309432
"37" "Abd-B.35B12" "1440" -0.250401113429276 0.598861415676873
"38" "Abd-B.35C08" "729" 1.7742218112539 0.038013233888696
"39" "Abd-B.35C08" "967" -0.288325642389972 0.613451259797168
"40" "Abd-B.35D11" "3107" 1.7742218112539 0.038013233888696
"41" "Abd-B.35D11" "3345" -0.288325642389972 0.613451259797168
"42" "Abl.65A05" "26" 0.696730332812001 0.242985786110114
"43" "Ace.55E12" "273" 0.490591446407433 0.311857718694064
"44" "Ace.55E12" "901" 1.29437517609388 0.0977679304492921
"45" "Ace.58G08" "2431" -0.909040551227192 0.818335639501647
"46" "Ace.58G08" "4073" 0.669711852007761 0.251520747426724
"47" "acj6.65C06" "2776" 1.38872227281638 0.0824586093423529
